"refseq"	"group"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_134050"	"Depleted"
"NM_134050"	"Depleted"
"NM_134050"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347406"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347407"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_001347405"	"Depleted"
"NM_134050"	"Depleted"
"NM_134050"	"Depleted"
"NM_134050"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_008112"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_001324488"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_027405"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_031999"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_019423"	"Depleted"
"NM_019423"	"Depleted"
"NM_019423"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_001311121"	"Depleted"
"NM_019423"	"Depleted"
"NM_019423"	"Depleted"
"NM_019423"	"Depleted"
"NM_016674"	"Depleted"
"NM_016674"	"Depleted"
"NM_016674"	"Depleted"
"NM_001347162"	"Depleted"
"NM_001347162"	"Depleted"
"NM_001347162"	"Depleted"
"NM_175347"	"Depleted"
"NM_175347"	"Depleted"
"NM_175347"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001347162"	"Depleted"
"NM_001347162"	"Depleted"
"NM_001347162"	"Depleted"
"NM_175347"	"Depleted"
"NM_175347"	"Depleted"
"NM_175347"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001361474"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_001033238"	"Depleted"
"NM_175178"	"Enriched"
"NM_175178"	"Enriched"
"NM_175178"	"Enriched"
"NM_175178"	"Enriched"
"NM_175178"	"Enriched"
"NM_001291070"	"Enriched"
"NM_001291070"	"Enriched"
"NM_001291070"	"Enriched"
"NM_001291070"	"Enriched"
"NM_010444"	"Depleted"
"NM_010444"	"Depleted"
