motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
149_16041388	QKI	4462	0.000161734278627058	27588462	2627	555	135	60	12	4
221_12324455	ZFP36	30410	0.00110532167132342	27512353	3528	1990	1056	886	602	2636
23_7510636	HNRNPA1	6153	0.000222874243181119	27607497	3323	863	213	75	26	7
242_7543047	SFRS1	10131	0.000367472219502825	27569431	4299	1584	503	165	62	37
243_7543047	SFRS1	302	1.09466051423961e-05	27588462	273	10	3	0	0	0
244_7543047	SFRS2	4389	0.000159308014478046	27550403	2689	601	110	27	8	4
350_8846295	EIF4B	8962	0.000324845944656139	27588462	4020	1300	428	127	68	42
351_8846295	EIF4B	2642	9.57646714775184e-05	27588462	2032	235	37	6	0	1
359_12507992	IGF2BP1	4410	0.00016029163336193	27512353	2900	503	122	22	9	1
37_16537540	A2BP1	9883	0.000357982471210628	27607497	3928	1434	520	203	59	84
661_1717938	SNRPA	6489	0.00023536938430104	27569431	3589	861	258	66	15	13
662_1717938	SNRPA	5460	0.000197908821448619	27588462	3399	667	161	41	5	11
663_1717938	SNRPA	6163	0.000223390488386051	27588462	3391	836	252	56	15	9
680_9789075	NOVA2	6271	0.000228249515483896	27474319	3432	895	239	53	9	15
682_10811881	NOVA2	6042	0.000220371792964895	27417302	3523	792	182	61	21	8
782_8497264	ELAVL2	41955	0.00152811991969785	27455306	2851	1712	1303	929	746	4865
783_7972035	ELAVL2	42610	0.00154661984436308	27550403	2808	1845	1267	954	801	4898
784_7972035	ELAVL2	40923	0.00148538662029735	27550403	2733	1893	1277	997	784	4533
790_10094314	SFRS7	2047	7.43515325932129e-05	27531376	1555	204	17	7	0	1
791_10094314	SFRS2	6806	0.000247208857268885	27531376	3572	998	261	65	34	5
946_10094314	SNRPA	6476	0.000235385174070717	27512353	3585	928	227	56	19	7
947_10094314	SNRPA	8410	0.000305469657600841	27531376	4033	1176	389	127	29	41
948_10094314	SNRPA	6836	0.000248470205365568	27512353	3528	949	294	92	21	11
949_10094314	SNRPA	4748	0.000172100931179128	27588462	3002	646	98	30	4	4
950_7908267	PABPC1	2367	8.57967363312968e-05	27588462	1703	264	25	9	3	2
951_12324455	ZFP36	23923	0.000868335755378968	27550403	4046	2167	1319	809	582	1088
952_7543047	SFRS1	7846	0.000284983939778382	27531376	3966	1070	334	107	36	26
953_7543047	SFRS2	12234	0.000444058840083029	27550403	4461	1688	720	293	108	105
954_10094314	SFRS7	2693	9.7748116425012e-05	27550403	2035	239	44	7	0	4
969_20167602	YTHDC1	0	0	27607497	0	0	0	0	0	0
